,HSCs_M1,HSCs_M2,HSCs_M3,HSCs_M4,HSCs_M5,HSCs_M6,MPP_CD62L_high_M1,MPP_CD62L_high_M2,MPP_CD62L_high_M3,MPP_CD62L_high_M4,MPP_CD62L_high_M5,MPP_CD62L_high_M6,MPP_CD62L_NEG_M1,MPP_CD62L_NEG_M2,MPP_CD62L_NEG_M3,MPP_CD62L_NEG_M4,MPP_CD62L_NEG_M5,MPP_CD62L_NEG_M6,MEP_M1,MEP_M2,MEP_M3,MEP_M4,MEP_M5,MEP_M6,GMP_M1,GMP_M2,GMP_M3,GMP_M4,GMP_M5,GMP_M6,CMP_M1,CMP_M2,CMP_M3,CMP_M4,CMP_M5,CMP_M6
2-OH-GLUTARIC ACID,3127,0,0,483,3363,0,3240,2008,2679,270,2218,1988,0,0,1925,0,1757,0,0,0,1860,1307,0,1471,0,4817,0,4862,0,3497,0,1769,0,1731,0,2230
4-OH PROLINE,6914,7306,0,0,0,5216,15256,16146,16322,15038,12866,10500,8374,9299,9421,0,0,0,10320,17405,29669,17496,9309,10593,25193,33589,26768,27365,23219,22539,10242,13559,10864,11386,9405,0
ACETYL-COA,177,0,0,493,415,424,0,0,517,253,368,484,0,259,525,289,407,327,587,316,5584,115,201,439,391,186,479,0,163,0,1017,18,192,0,0,0
ACONITIC ACID,0,0,0,1672,1802,2914,0,0,0,2059,1856,2162,0,0,0,1708,2993,2572,0,0,0,2793,4106,3340,0,0,0,3288,1083,1560,0,0,0,2016,2631,2439
ADENOSINE,71017,96885,0,9744,330,10187,27899,22423,71863,0,34739,5589,29380,40698,785654,0,1857,0,0,29819,0,0,0,0,0,34812,19668,1530571,0,0,0,1320,0,0,0,0
ADP,877,637,0,848,462,1071,922,940,907,814,951,638,937,618,500,756,906,720,702,967,1500,482,527,587,976,1056,923,909,791,688,552,490,758,363,313,468
ADP RIBOSE,0,0,0,356,660,292,0,0,0,167,218,275,0,0,0,102,280,176,0,0,0,234,146,0,0,0,0,252,0,126,0,0,0,142,278,204
AMP,77576,63353,0,40229,29398,43023,78341,94922,116168,53803,45147,60053,85309,81640,62565,39137,46141,36345,51275,54202,75180,57283,21041,29600,108875,117089,79418,138674,61455,61653,49260,38826,43995,44971,23602,27144
ARGININE,14795,10568,0,25017,6606,8376,13703,12039,26254,11271,23258,27660,56429,15478,39779,34445,12023,11120,23766,48740,37650,23200,0,13227,30709,45016,29054,37881,0,10241,15469,10492,74,0,0,0
ARGINOSUCCINIC ACID,764,2387,0,0,0,1424,3051,4843,5637,1933,0,0,2378,1690,3147,0,404,0,3748,5959,35402,0,0,0,4586,4236,6536,0,0,0,5581,850,3484,0,0,0
ASPARTIC ACID,9916,9320,0,3370,2929,7598,24963,26763,27202,18768,13441,7241,15841,10765,10176,12621,2840,5222,23796,48241,49198,16755,9063,5202,26402,34669,35784,6196,13186,3226,18716,14416,22206,4177,6648,1859
ATA,56458,145797,0,58176,73554,68172,0,91851,0,69326,41112,18540,0,64703,0,67529,0,72179,101530,91363,27260,274291,376769,257212,183631,36792,53330,190312,315759,202845,47053,106274,0,68129,207727,162371
ATP,3561,2585,0,0,2532,5070,3557,3710,4049,5639,3811,0,3291,2365,2208,4390,4496,2954,4137,5561,15541,3028,3649,3907,5059,5781,4274,2488,2735,3377,4216,0,4490,1955,0,1612
CARNITINE,0,5383,0,10282,2250,0,8812,16613,15585,30540,158195,63190,0,13503,12104,15280,18544,2441,100976,253582,102755,96506,167470,180605,16965,48151,50579,58522,101435,142517,25495,8662,6386,35689,58306,50661
CARNITINE C10,0,0,0,7007,0,0,622,0,0,11598,0,8084,0,0,1310,6040,0,3464,136,0,31708,17357,31437,33266,2713,2557,2890,23192,23106,29447,12692,0,0,34729,42160,37866
